"eid","exercise","Short YouTube Demonstration","InDepth YouTube Explanation","Difficulty Level","Target Muscle Group","Prime Mover Muscle","Secondary Muscle","Tertiary Muscle","Primary Equipment","Secondary Equipment","Body Region","Force Type","mechanics","Primary Exercise Classification","setsxreps"
51,"Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge",NULL,NULL,"Advanced","Adductors","Adductor Magnus",NULL,NULL,"Sliders","Kettlebell","Lower Body","Other","Compound","Bodybuilding","4x12"
55,"Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge",NULL,NULL,"Intermediate","Adductors","Adductor Magnus",NULL,NULL,"Sliders","Kettlebell","Lower Body","Other","Compound","Bodybuilding","4x12"
56,"Slider Double Kettlebell Front Rack Lateral Lunge",NULL,NULL,"Novice","Adductors","Adductor Magnus",NULL,NULL,"Sliders","Kettlebell","Lower Body","Other","Compound","Bodybuilding","4x12"
57,"Bodyweight Feet On Wall Mountain Climber","https://youtu.be/jGwHfj957eU?si=i-ZtryUkm2Geud9J","https://youtu.be/OcGkhubaWzE","Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Bodyweight","None","Midsection","Other","Compound","Calisthenics","4x20"
58,"Slider Double Kettlebell Suitcase Reverse Lunge","https://youtu.be/1SlpUMsiiiw?si=WnEVv0WTROHdU4eR",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Sliders","Kettlebell","Lower Body","Push","Compound","Bodybuilding","4x12"
63,"Slider Double Kettlebell Front Rack Reverse Lunge","https://youtu.be/-p1l0vXTtAU?si=ebEJZJZkoWYTDFbC",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Sliders","Kettlebell","Lower Body","Push","Compound","Bodybuilding","4x12"
67,"Bodyweight Side Plank Reach Through","https://youtu.be/7lfNb_zydvQ","https://youtu.be/-ruAdV34H54","Novice","Abdominals","Obliques","Rectus Abdominis",NULL,"Bodyweight","None","Midsection","Other","Compound","Calisthenics","4x20"
79,"Double Dumbbell Z Press","https://youtu.be/k_kXBEjURUA","https://youtu.be/wce-elEhBHw","Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Dumbbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
80,"Slider Double Kettlebell Overhead Reverse Lunge",NULL,NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Sliders","Kettlebell","Lower Body","Push","Compound","Bodybuilding","4x12"
81,"Double Dumbbell Romanian Deadlift","https://youtu.be/Cf3CaHui43A?si=dFPcP6jQEQECmXmY","https://youtu.be/hQgFixeXdZo","Beginner","Hamstrings","Biceps Femoris","Gluteus Maximus",NULL,"Dumbbell","None","Lower Body","Pull","Compound","Bodybuilding","4x12"
83,"Bodyweight Single Leg Glute Bridge","https://youtu.be/z4J188sFD4g","https://youtu.be/_K_di6h2-Wg","Novice","Glutes","Gluteus Maximus",NULL,NULL,"Bodyweight","None","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
84,"Dumbbell Glute Bridge","https://youtu.be/JpDDoINkrog","https://youtu.be/FSiUH5jn3Cs","Beginner","Glutes","Gluteus Maximus",NULL,NULL,"Dumbbell","None","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
85,"Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension","https://youtu.be/cRCXEFhpBEI?si=6A2YpBsXM9WqT6rW","https://youtu.be/ubuobFi9GH8?si=aysa84_fukw-vhZm","Beginner","Glutes","Gluteus Maximus",NULL,NULL,"Bodyweight","None","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
86,"Miniband Side Lying Clamshell","https://youtu.be/vSpyJR3dA7s?si=voo83Swm5kMbYEwl","https://youtu.be/m_ZPapmqeNM","Beginner","Glutes","Gluteus Maximus","Gluteus Medius","Gluteus Minimus","Miniband","None","Lower Body","Other","Isolation","Bodybuilding","4x12"
87,"Miniband Ankle Side Lying Hip Abduction","https://youtu.be/bDvFd4EZt8M",NULL,"Beginner","Abductors","Gluteus Medius","Gluteus Minimus","Tensor Fasciae Latae","Miniband","None","Lower Body","Other","Isolation","Bodybuilding","4x12"
88,"Miniband Bench Seated Hip Abduction","https://youtu.be/NeO0w4Jv4rs?si=zFKHnPvts0-arQgk",NULL,"Beginner","Abductors","Gluteus Medius","Gluteus Minimus","Tensor Fasciae Latae","Miniband","Bench (Flat)","Lower Body","Other","Isolation","Bodybuilding","4x12"
89,"Miniband Glute Bridge with Hip Abduction","https://youtu.be/oS3cYfl6Bns",NULL,"Beginner","Glutes","Gluteus Maximus","Gluteus Medius",NULL,"Miniband","None","Lower Body","Other","Compound","Bodybuilding","4x12"
90,"Stability Ball Hip Thrust","https://youtu.be/4azLK_5vOqY?si=bceKCFzhvhSW5jXe","https://youtu.be/awrONjSvtNU","Beginner","Glutes","Gluteus Maximus",NULL,NULL,"Stability Ball","None","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
91,"Stability Ball Dumbbell Hip Thrust","https://youtu.be/x4lc8HocO1c",NULL,"Beginner","Glutes","Gluteus Maximus",NULL,NULL,"Stability Ball","Dumbbell","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
94,"Cable Glute Kickback","https://youtu.be/qJxwJ1e1HxI?si=5y999i_uPybFFDol","https://youtu.be/dJa_Nf4zdik","Novice","Glutes","Gluteus Maximus",NULL,NULL,"Cable","None","Lower Body","Unsorted*","Isolation","Bodybuilding","4x12"
95,"Bodyweight Single Leg Foot Elevated Glute Bridge","https://youtu.be/I7Zwyzr8COk","https://youtu.be/-sDqY1KTpPE","Novice","Glutes","Gluteus Maximus",NULL,NULL,"Bodyweight","None","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
96,"Suspension Feet Elevated Glute Bridge","https://youtu.be/bZUGEwxZVks?si=GXDy3dTxYcWMuQpw","https://youtu.be/KlgaxSAfaDA","Novice","Glutes","Gluteus Maximus",NULL,NULL,"Suspension Trainer","None","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
97,"Miniband Thigh Lateral Walk","https://youtu.be/34fVGXqWWs8","https://youtu.be/7C8mL0v976o","Beginner","Abductors","Gluteus Medius","Gluteus Minimus","Tensor Fasciae Latae","Miniband","None","Lower Body","Other","Compound","Bodybuilding","4x12"
98,"Miniband Ankle Lateral Walk","https://youtu.be/N4tkpDMlqCQ","https://youtu.be/mKCe63bpPxA","Novice","Abductors","Gluteus Medius","Gluteus Minimus","Tensor Fasciae Latae","Miniband","None","Lower Body","Other","Compound","Bodybuilding","4x12"
99,"Miniband Feet Lateral Walk","https://youtu.be/GxqfnFHLH6c","https://youtu.be/5wUk8wQNUT8","Intermediate","Abductors","Gluteus Medius","Gluteus Minimus","Tensor Fasciae Latae","Miniband","None","Lower Body","Other","Compound","Bodybuilding","4x12"
100,"Miniband Standing Glute Kickback","https://youtu.be/VfxcvV94YG4?si=GvLsj424P4itfbZo","https://youtu.be/kK5RKh_abCE?si=_1yTmWZij9OG5rwA","Novice","Glutes","Gluteus Maximus",NULL,NULL,"Miniband","None","Lower Body","Unsorted*","Isolation","Bodybuilding","4x12"
101,"Barbell Hip Thrust","https://youtu.be/5S8SApGU_Lk","https://youtu.be/LM8XHLYJoYs","Novice","Glutes","Gluteus Maximus",NULL,NULL,"Barbell","Bench (Flat)","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
102,"Barbell Single Leg Hip Thrust","https://youtu.be/BMIy2gtjsTI?si=JnJL8ZiliAOk_Ac1",NULL,"Intermediate","Glutes","Gluteus Maximus",NULL,NULL,"Barbell","Bench (Flat)","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
103,"Stability Ball Single Leg Foot Elevated Glute Bridge","https://youtu.be/LSUPiOJOA6M",NULL,"Intermediate","Glutes","Gluteus Maximus",NULL,NULL,"Stability Ball","None","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
104,"Miniband Standing Hip Abduction","https://youtu.be/dZNkjqKNUUs",NULL,"Novice","Abductors","Gluteus Medius","Gluteus Minimus","Tensor Fasciae Latae","Miniband","None","Lower Body","Other","Isolation","Bodybuilding","4x12"
105,"Miniband 3 Way Cha Cha","https://youtu.be/3SOcMYQWbDU",NULL,"Beginner","Abductors","Gluteus Medius","Gluteus Minimus","Tensor Fasciae Latae","Miniband","None","Lower Body","Other","Compound","Bodybuilding","4x12"
106,"Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge","https://youtu.be/5D-hSAvpFls?si=2EfexeMUADw51Wu2",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Sliders","Kettlebell","Lower Body","Push","Compound","Bodybuilding","4x12"
109,"Slider Barbell Overhead Lateral Lunge",NULL,NULL,"Advanced","Adductors","Adductor Magnus",NULL,NULL,"Sliders","Barbell","Lower Body","Other","Compound","Bodybuilding","4x12"
110,"Single Arm Dumbbell Half Kneeling Contralateral Overhead Press","https://youtu.be/4DUIY95jX6Y",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii","Rectus Abdominis","Dumbbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
111,"Barbell Shrug",NULL,"https://youtu.be/pqYr_lb04O4","Novice","Trapezius","Upper Trapezius",NULL,NULL,"Barbell","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
114,"Cable Guillotine Curl","https://youtu.be/KLM1hUecXbY",NULL,"Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Cable","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
115,"Cable Supine Bicep Curl","https://youtu.be/hBC7lPyEkVM",NULL,"Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Cable","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
116,"High Cable Straight Bar Bicep Curl","https://youtu.be/xaMJYDzqTZg",NULL,"Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Cable","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
117,"Double Dumbbell Spider Curl","https://youtu.be/9Dd8iiEUs_Q?si=juy6zuf-MVn-W8j8","https://youtu.be/nvufDW-MSQk","Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Dumbbell","Bench (Incline)","Upper Body","Pull","Isolation","Bodybuilding","4x12"
118,"EZ Bar Spider Curl","https://youtu.be/wtbHEt6Qi8g?si=wca7IhWcGWNDg2QX","https://youtu.be/BsE9zhhTU1A","Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","EZ Bar","Bench (Incline)","Upper Body","Pull","Isolation","Bodybuilding","4x12"
119,"Stability Ball Cable Preacher Curl","https://youtu.be/uEjtuyC6-bc",NULL,"Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Stability Ball","Cable","Upper Body","Pull","Isolation","Bodybuilding","4x12"
120,"Single Arm Dumbbell Standing Concentration Curl","https://youtu.be/fOV-z1wARvs?si=pxr3u-XyVhL6BlD3","https://youtu.be/bbFFdxcAYiw","Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Dumbbell","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
121,"EZ Bar Wide Grip Bicep Curl","https://youtu.be/xUdw3EtnTLM?si=6zj86RhHEsTUIlf4",NULL,"Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","EZ Bar","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
122,"Single Arm Cable Standing High Bicep Curl","https://youtu.be/shIYFhPQVSo",NULL,"Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Cable","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
123,"EZ Bar Seated Overhead Tricep Extension","https://youtu.be/QGK3RQ_Eexc?si=2Go8XA5nbKIfwUBr","https://youtu.be/priRWVpDV8c","Novice","Triceps","Triceps Brachii",NULL,NULL,"EZ Bar","Bench (Flat)","Upper Body","Push","Isolation","Bodybuilding","4x12"
124,"EZ Bar Standing Overhead Tricep Extension","https://youtu.be/99qXUnFuQdM","https://youtu.be/xvvN9HZvaBE","Novice","Triceps","Triceps Brachii",NULL,NULL,"EZ Bar","None","Upper Body","Push","Isolation","Bodybuilding","4x12"
125,"Barbell Thruster","https://youtu.be/aea5BGj9a8Y","https://youtu.be/Zvt5-mugUco","Intermediate","Quadriceps","Quadriceps Femoris","Anterior Deltoids",NULL,"Barbell","None","Full Body","Push","Compound","Bodybuilding","4x12"
126,"Bodyweight Diamond Push Up","https://youtu.be/XtU2VQVuLYs","https://youtu.be/J0DnG1_S92I","Novice","Triceps","Triceps Brachii","Pectoralis Major","Anterior Deltoids","Bodyweight","None","Upper Body","Push","Compound","Calisthenics","4x20"
127,"EZ Bar Lying Tricep Extension","https://youtu.be/fUW3C1lVWkk?si=uxeyIMMcnTpM46fm","https://youtu.be/FrutSwqK5fQ","Novice","Triceps","Triceps Brachii",NULL,NULL,"EZ Bar","Bench (Flat)","Upper Body","Push","Compound","Bodybuilding","4x12"
128,"Cable Rope Overhead Tricep Extension","https://youtu.be/KvrP8c6eVBc?si=1EP-aMrXRtcbPO6b","https://youtu.be/XTerYx0kwQ8","Novice","Triceps","Triceps Brachii",NULL,NULL,"Cable","None","Upper Body","Push","Isolation","Bodybuilding","4x12"
129,"Single Arm Cable Reverse Grip Tricep Pushdown","https://youtu.be/pXd8vm-ZSOA?si=8_iZ3618RVjOmu3S","https://youtu.be/ebtopenAnQ4","Novice","Triceps","Triceps Brachii",NULL,NULL,"Cable","None","Upper Body","Push","Isolation","Bodybuilding","4x12"
130,"EZ Bar Reverse Grip Bicep Curl","https://youtu.be/aIrvcBlNHBA","https://youtu.be/nRgxYX2Ve9w","Novice","Forearms","Brachioradialis","Biceps Brachii","Brachialis","EZ Bar","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
131,"Stability Ball Single Arm Dumbbell Chest Press","https://youtu.be/EQlfrWvaU6w",NULL,"Novice","Chest","Pectoralis Major","Triceps Brachii","Anterior Deltoids","Dumbbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
133,"Landmine V Grip Row","https://youtu.be/gnikveF7dgI","https://youtu.be/9hSQVBHLOX0?si=7vUXasQb6975_SHL","Novice","Back","Latissimus Dorsi",NULL,NULL,"Landmine","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
134,"Double Dumbbell Thruster","https://youtu.be/u3wKkZjE8QM","https://youtu.be/cPzfRo_jti0","Novice","Quadriceps","Quadriceps Femoris","Anterior Deltoids",NULL,"Dumbbell","None","Full Body","Push","Compound","Bodybuilding","4x12"
135,"Single Arm Dumbbell Thruster","https://youtu.be/03aX4h5-EkA","https://youtu.be/o1wfP7nTCqg","Novice","Quadriceps","Quadriceps Femoris","Anterior Deltoids",NULL,"Dumbbell","None","Full Body","Push","Compound","Bodybuilding","4x12"
136,"Single Arm Landmine Row","https://youtu.be/tiETx7VNDf0",NULL,"Novice","Back","Latissimus Dorsi",NULL,NULL,"Landmine","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
137,"Superband Assisted Bar Wide Grip Pull Up","https://youtu.be/0FLLqjG68rg","https://youtu.be/7yqudG7vnow","Novice","Back","Latissimus Dorsi",NULL,NULL,"Superband","Pull Up Bar","Upper Body","Pull","Compound","Calisthenics","4x20"
140,"Double Dumbbell Pendlay Row","https://youtu.be/4-Jz3c_u1dw",NULL,"Novice","Back","Latissimus Dorsi",NULL,NULL,"Dumbbell","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
141,"Cable Straight Bar Pullover","https://youtu.be/SgzJGLlAtok?si=p2bo--kETp2ajVVX","https://youtu.be/Lf6pcq7zy28","Novice","Back","Latissimus Dorsi",NULL,NULL,"Cable","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
142,"Single Arm Cable Half Kneeling Lat Pulldown","https://youtu.be/4QDCC2gU5_E",NULL,"Novice","Back","Latissimus Dorsi",NULL,NULL,"Cable","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
143,"Single Arm Cable Half Kneeling Low Row","https://youtu.be/redrpTwkplw",NULL,"Novice","Back","Latissimus Dorsi",NULL,NULL,"Cable","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
145,"Double Dumbbell Incline Bench Prone Row","https://youtu.be/93ZAdx24QVQ","https://youtu.be/2LxN3_3atps","Novice","Back","Latissimus Dorsi",NULL,NULL,"Dumbbell","Bench (Incline)","Upper Body","Pull","Compound","Bodybuilding","4x12"
146,"Barbell Pendlay Row","https://youtu.be/ezrZnmjZTR4","https://youtu.be/ZlRrIsoDpKg","Novice","Back","Latissimus Dorsi",NULL,NULL,"Barbell","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
147,"Barbell Bench Press","https://youtu.be/SCVCLChPQFY","https://youtu.be/rxD321l2svE","Novice","Chest","Pectoralis Major","Triceps Brachii","Anterior Deltoids","Barbell","Bench (Flat)","Upper Body","Push","Compound","Powerlifting","5x5"
150,"Barbell Bicep Curl","https://youtu.be/QciWGMjD-nM","https://youtu.be/bAWLx7PPK10","Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Barbell","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
151,"Barbell Overhead Press","https://youtu.be/43GSKivZnw4?si=OIfasYK8gG4sUDBW","https://youtu.be/8dacy5hjaE8","Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Barbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
153,"Barbell Bent Over Row","https://youtu.be/9Gf-Ourup_k?si=qt-DlqHLDICtOmju",NULL,"Novice","Back","Latissimus Dorsi","Rhomboids","Posterior Deltoids","Barbell","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
154,"Single Arm Landmine Meadows Row","https://youtu.be/e-c4gMcqdyw","https://youtu.be/EsmIWi_0lio","Novice","Back","Latissimus Dorsi",NULL,NULL,"Landmine","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
155,"Cable Straight Bar Seated Bicep Curl","https://youtu.be/iWyvxI5A1cA?si=aBSi-dGZ6CxySnnU",NULL,"Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Cable","Bench (Flat)","Upper Body","Pull","Isolation","Bodybuilding","4x12"
156,"Cable Rope Bench Skull Crusher","https://youtu.be/NfOLyLpoGII",NULL,"Novice","Triceps","Triceps Brachii",NULL,NULL,"Cable","Bench (Flat)","Upper Body","Push","Isolation","Bodybuilding","4x12"
158,"Bodyweight Wall Facing Handstand","https://youtu.be/yHuLx1J9orw","https://youtu.be/FZFkX5of5Vg","Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Bodyweight","None","Upper Body","Other","Compound","Calisthenics","4x20"
159,"Parallette Close Grip Push Up","https://youtu.be/VhqEdeeAyvg",NULL,"Novice","Triceps","Triceps Brachii","Pectoralis Major",NULL,"Parallette Bars","None","Upper Body","Push","Compound","Calisthenics","4x20"
160,"Parallette Wide Push Up","https://youtu.be/UEZy-OmXdZs",NULL,"Novice","Chest","Pectoralis Major",NULL,NULL,"Parallette Bars","None","Upper Body","Push","Compound","Calisthenics","4x20"
161,"Barbell Front Raise","https://youtu.be/DL-HN35sxdg","https://youtu.be/Ofo2DQdT7DA","Novice","Shoulders","Anterior Deltoids","Pectoralis Major","Biceps Brachii","Barbell","None","Upper Body","Push","Isolation","Bodybuilding","4x12"
162,"Single Arm Cable Front Raise","https://youtu.be/acozHQv1JLk",NULL,"Novice","Shoulders","Anterior Deltoids","Pectoralis Major","Biceps Brachii","Cable","None","Upper Body","Push","Isolation","Bodybuilding","4x12"
163,"Parallette Side Plank","https://youtu.be/d7PGNbhmQVM",NULL,"Intermediate","Abdominals","Obliques","Rectus Abdominis",NULL,"Parallette Bars","None","Midsection","Other","Compound","Calisthenics","4x20"
164,"Cable Straight Bar Front Raise","https://youtu.be/PgSZlX32WTo","https://youtu.be/wxzEul89zR0","Novice","Shoulders","Anterior Deltoids","Pectoralis Major","Biceps Brachii","Cable","None","Upper Body","Push","Isolation","Bodybuilding","4x12"
165,"Barbell Close Grip Bench Press","https://youtu.be/XEFDMwmrLAM","https://youtu.be/cXbSJHtjrQQ","Novice","Triceps","Triceps Brachii","Pectoralis Major",NULL,"Barbell","Bench (Flat)","Upper Body","Push","Compound","Bodybuilding","4x12"
166,"Single Arm Cable Bicep Curl","https://youtu.be/Pu5p6uZGTZM?si=MoB-YCpKDesQD9Nn",NULL,"Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Cable","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
167,"Single Arm Cable Shotgun Row","https://youtu.be/91nVZ7FLPyA?si=_khiKXF3khjyeuSP","https://youtu.be/AuiREVMldIw","Novice","Back","Latissimus Dorsi","Biceps Brachii",NULL,"Cable","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
170,"Single Arm Kettlebell Bent Over Row","https://youtu.be/9Q9gwoXHn1o","https://youtu.be/bZ4h1Bqw-to","Novice","Back","Latissimus Dorsi","Rhomboids","Posterior Deltoids","Kettlebell","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
171,"Double Kettlebell Gorilla Row","https://youtu.be/Ln1j7lm6SrE","https://youtu.be/6nyznu2WKbc","Novice","Back","Latissimus Dorsi",NULL,NULL,"Kettlebell","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
172,"Kettlebell Alternating Halo","https://youtu.be/wJcmanVh5EE","https://youtu.be/PJTIftBgGVk","Novice","Shoulders","Posterior Deltoids","Medial Deltoids",NULL,"Kettlebell","None","Upper Body","Pull","Compound","Mobility","2x20"
173,"Single Arm Kettlebell Overhead Press","https://youtu.be/CwhbuoGqyug?si=Q9nkDUY4NvpGPqak","https://youtu.be/IlMFcqpg1T8","Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Kettlebell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
174,"Kettlebell Horn Grip Bicep Curl","https://youtu.be/YzTfq9VaQKs","https://youtu.be/KLvGXRo56iQ","Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Kettlebell","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
175,"Double Dumbbell Prone Row","https://youtu.be/scf3uLuAATg",NULL,"Novice","Back","Latissimus Dorsi",NULL,NULL,"Dumbbell","Bench (Flat)","Upper Body","Pull","Compound","Bodybuilding","4x12"
176,"Double Kettlebell Z Press","https://youtu.be/6GbGvGvedOc",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Kettlebell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
177,"Double Kettlebell Push Press","https://youtu.be/ekNrVv6G5v8","https://youtu.be/4DAzffDFYzc","Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Kettlebell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
178,"Barbell Prone Row","https://youtu.be/pJzThQgKKxw","https://youtu.be/CL-lV9E94Fs","Novice","Back","Latissimus Dorsi",NULL,NULL,"Barbell","Bench (Flat)","Upper Body","Pull","Compound","Bodybuilding","4x12"
181,"Barbell Incline Bench Press","https://youtu.be/2jFFCy8JBU8?si=BCYplSL2-ewJ8kiB","https://youtu.be/SrqOu55lrYU","Novice","Chest","Pectoralis Major","Triceps Brachii",NULL,"Barbell","Bench (Incline)","Upper Body","Push","Compound","Bodybuilding","4x12"
182,"Double Kettlebell Tall Kneeling Overhead Press","https://youtu.be/2nJsZIScaVk","https://youtu.be/YxhDufCVPCE?si=J1eGoIkEExg-7WbL","Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Kettlebell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
